Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2000-02-23,226.0,234.9,217.5,219.45,220.5,134508,,,217.55,1.8999999999999773,0.00873362445414827,174806.0,-40298.0,-0.23052984451334624
2000-02-24,222.0,230.0,215.5,227.0,227.0,87892,,,219.45,7.550000000000011,0.034404192298929104,134508.0,-46616.0,-0.3465667469592887
2000-02-25,229.95,234.0,222.0,227.0,227.5,126532,,,227.0,0.0,0.0,87892.0,38640.0,0.4396304555590953
2000-02-28,229.85,230.0,220.0,227.55,227.5,85721,,,227.0,0.5500000000000114,0.0024229074889867697,126532.0,-40811.0,-0.32253501090633196
2000-02-29,228.0,239.0,209.5,216.8,218.95,258688,,,227.55,-10.75,-0.04724236431553508,85721.0,172967.0,2.017790273095274
2000-03-01,218.0,234.15,218.0,234.15,234.15,32094,,,216.8,17.349999999999994,0.08002767527675281,258688.0,-226594.0,-0.8759354898565067
2000-03-02,250.0,252.9,250.0,252.9,252.9,39936,,,234.15,18.75,0.08007687379884687,32094.0,7842.0,0.24434473733408124
2000-03-03,273.15,273.15,273.15,273.15,273.15,64294,,,252.9,20.24999999999997,0.080071174377224,39936.0,24358.0,0.6099258814102564
2000-03-06,294.95,295.0,255.0,266.05,262.5,203641,,,273.15,-7.099999999999966,-0.025993044114955066,64294.0,139347.0,2.1673406538712787
2000-03-07,265.0,267.9,255.0,258.2,263.5,162412,,,266.05,-7.850000000000023,-0.029505732005262297,203641.0,-41229.0,-0.20245922972289465
2000-03-08,265.0,278.9,262.0,272.05,272.05,200477,,,258.2,13.850000000000023,0.05364058869093724,162412.0,38065.0,0.23437307588109246
2000-03-09,270.15,280.0,251.0,269.6,265.5,133979,,,272.05,-2.4499999999999886,-0.009005697482080466,200477.0,-66498.0,-0.3316988981279648
2000-03-10,261.25,263.0,248.05,254.15,257.9,146833,,,269.6,-15.450000000000017,-0.05730712166172114,133979.0,12854.0,0.09594040857149255
2000-03-13,250.0,274.5,250.0,269.95,274.5,207982,219.412,,254.15,15.799999999999983,0.06216801101711589,146833.0,61149.0,0.4164527047734501
2000-03-14,275.5,280.0,256.0,265.4,268.0,178202,221.32,,269.95,-4.550000000000011,-0.016854973143174745,207982.0,-29780.0,-0.14318546797318998
2000-03-15,270.0,270.0,247.0,259.85,261.5,82786,223.04100000000003,,265.4,-5.5499999999999545,-0.02091183119819129,178202.0,-95416.0,-0.5354373127125397
2000-03-16,262.0,262.0,255.05,256.95,256.25,132464,224.84099999999998,,259.85,-2.900000000000034,-0.011160284779680674,82786.0,49678.0,0.6000773077573502
2000-03-21,260.0,260.0,246.7,255.8,257.0,160111,226.591,,256.95,-1.1499999999999773,-0.0044755789064019336,132464.0,27647.0,0.20871331078632682
2000-03-22,259.75,265.0,254.05,261.15,263.25,76130,228.447,,255.8,5.349999999999966,0.020914777169663612,160111.0,-83981.0,-0.5245173660772839
2000-03-23,258.25,282.05,258.25,280.4,279.6,253844,230.737,,261.15,19.25,0.07371242580892212,76130.0,177714.0,2.334349139629581
2000-03-24,275.1,277.75,264.5,273.4,274.0,117154,232.93699999999998,,280.4,-7.0,-0.024964336661911557,253844.0,-136690.0,-0.53848032649974
2000-03-27,275.0,278.0,266.25,271.7,272.0,61131,235.062,,273.4,-1.6999999999999886,-0.006217995610826588,117154.0,-56023.0,-0.47819963466889737
2000-03-28,268.5,278.5,268.05,275.1,272.5,98364,237.262,,271.7,3.400000000000034,0.012513801987486417,61131.0,37233.0,0.6090690484369632
2000-03-29,276.0,287.95,263.05,265.4,264.0,98480,239.261,,275.1,-9.700000000000045,-0.035259905488913335,98364.0,116.0,0.0011792932373633214
2000-03-30,256.5,266.0,251.0,262.55,263.0,95368,240.938,,265.4,-2.849999999999966,-0.010738507912584683,98480.0,-3112.0,-0.03160032493907394
2000-03-31,253.0,260.0,252.0,257.2,258.25,74360,242.768,,262.55,-5.350000000000023,-0.02037707103408881,95368.0,-21008.0,-0.22028353326063255
2000-04-03,259.95,273.0,240.15,247.15,245.0,168588,244.13099999999997,,257.2,-10.049999999999983,-0.03907465007776045,74360.0,94228.0,1.2671866594943517
2000-04-04,243.0,243.0,227.4,227.4,227.4,71783,245.10699999999997,,247.15,-19.75,-0.07991098523164075,168588.0,-96805.0,-0.5742105013405462
2000-04-05,232.0,232.0,209.25,209.25,209.25,87281,245.52899999999997,,227.4,-18.150000000000006,-0.07981530343007914,71783.0,15498.0,0.21590070072301248
2000-04-06,207.0,212.0,192.55,192.55,192.55,83506,245.36900000000003,,209.25,-16.69999999999999,-0.07980884109916364,87281.0,-3775.0,-0.04325110848867453
2000-04-07,195.0,207.95,185.05,207.95,207.95,160929,245.196,,192.55,15.399999999999977,0.0799792261750194,83506.0,77423.0,0.9271549349747323
2000-04-10,224.5,224.6,219.95,224.6,224.6,156056,245.09399999999997,,207.95,16.650000000000006,0.08006732387593174,160929.0,-4873.0,-0.030280434228759256
2000-04-11,224.6,234.9,209.0,226.2,229.8,295933,245.06,,224.6,1.5999999999999943,0.007123775601068472,156056.0,139877.0,0.8963256779617572
2000-04-12,238.0,243.0,223.0,233.0,233.45,130901,244.965,,226.2,6.800000000000011,0.030061892130857748,295933.0,-165032.0,-0.5576667691673454
2000-04-13,229.0,234.0,215.0,231.45,230.5,191316,244.775,,233.0,-1.5500000000000114,-0.006652360515021494,130901.0,60415.0,0.4615319974637322
2000-04-17,225.0,225.0,212.95,212.95,212.95,128329,244.15400000000002,,231.45,-18.5,-0.07993087059840143,191316.0,-62987.0,-0.3292301741621192
2000-04-18,214.05,224.9,214.05,222.1,222.75,136898,244.077,,212.95,9.150000000000006,0.04296783282460681,128329.0,8569.0,0.06677368326722721
2000-04-19,229.0,232.0,219.0,226.45,225.0,140953,244.02699999999996,,222.1,4.349999999999994,0.019585772174696148,136898.0,4055.0,0.029620593434527942
2000-04-20,223.0,227.0,215.3,225.7,225.0,179397,243.607,,226.45,-0.75,-0.003311989401633908,140953.0,38444.0,0.27274339673508186
2000-04-24,225.0,235.9,224.5,232.1,229.05,198636,243.234,,225.7,6.400000000000006,0.028356225077536656,179397.0,19239.0,0.10724259603003405
2000-04-25,228.1,235.0,220.0,230.95,234.7,256016,242.803,,232.1,-1.1500000000000057,-0.004954760878931541,198636.0,57380.0,0.288870094041362
2000-04-26,239.9,249.45,231.25,249.25,249.45,188978,242.753,,230.95,18.30000000000001,0.07923793028794113,256016.0,-67038.0,-0.26185082182363606
2000-04-27,254.7,255.0,233.1,245.5,244.05,255768,243.021,,249.25,-3.75,-0.015045135406218657,188978.0,66790.0,0.3534273830816286
2000-04-28,242.05,249.5,240.05,245.15,245.05,167249,243.25499999999997,,245.5,-0.3499999999999943,-0.0014256619144602523,255768.0,-88519.0,-0.34609098870851707
2000-05-02,247.0,254.0,240.0,251.2,249.5,253873,243.727,,245.15,6.049999999999983,0.02467876810116243,167249.0,86624.0,0.5179343374250369
2000-05-03,243.0,249.9,232.5,246.2,247.0,222892,243.734,,251.2,-5.0,-0.019904458598726138,253873.0,-30981.0,-0.12203345767371876
2000-05-04,254.9,257.0,246.1,250.8,251.0,172245,243.74200000000002,,246.2,4.600000000000023,0.01868399675060939,222892.0,-50647.0,-0.22722663891032424
2000-05-05,248.5,270.0,247.25,259.85,259.0,284419,244.08700000000002,,250.8,9.050000000000011,0.036084529505582275,172245.0,112174.0,0.651246770588406
2000-05-08,265.0,275.0,256.0,260.45,260.45,138220,244.57299999999998,,259.85,0.5999999999999659,0.0023090244371750668,284419.0,-146199.0,-0.5140268406822329
2000-05-09,256.0,264.95,253.0,261.4,257.05,114288,245.45,,260.45,0.9499999999999886,0.003647533115761048,138220.0,-23932.0,-0.1731442627694979
2000-05-10,260.0,265.0,252.0,262.65,261.05,187477,246.31400000000002,,261.4,1.25,0.004781943381790388,114288.0,73189.0,0.6403909421811564
2000-05-11,255.1,270.9,254.05,265.8,264.5,243138,247.09,,262.65,3.150000000000034,0.011993146773272567,187477.0,55661.0,0.29689508579719104
2000-05-12,271.4,271.4,260.1,262.1,262.85,129698,247.792,,265.8,-3.6999999999999886,-0.01392024078254317,243138.0,-113440.0,-0.46656631213549504
2000-05-15,258.05,262.0,251.0,257.1,255.9,165313,248.38299999999998,,262.1,-5.0,-0.019076688286913335,129698.0,35615.0,0.274599454116486
2000-05-16,257.0,261.75,255.0,256.25,255.0,107407,249.172,,257.1,-0.8500000000000227,-0.0033061065733178685,165313.0,-57906.0,-0.35028098213691605
2000-05-17,260.0,261.0,255.1,258.05,257.45,80143,249.65,,256.25,1.8000000000000114,0.007024390243902445,107407.0,-27264.0,-0.25383820421387804
2000-05-18,255.1,259.0,255.0,256.05,256.1,48871,249.713,,258.05,-2.0,-0.00775043596202285,80143.0,-31272.0,-0.39020251300799824
2000-05-19,252.05,260.5,252.05,255.75,256.9,216905,249.365,,256.05,-0.30000000000001137,-0.0011716461628588082,48871.0,168034.0,3.4383172024308895
2000-05-22,256.0,257.9,243.25,248.85,247.0,110150,249.021,,255.75,-6.900000000000006,-0.02697947214076246,216905.0,-106755.0,-0.4921739932228395
2000-05-23,247.0,247.0,219.05,233.75,237.0,203910,248.53199999999998,,248.85,-15.099999999999994,-0.060679123970263205,110150.0,93760.0,0.851202905129369
2000-05-24,230.0,252.45,220.1,242.1,241.5,319841,247.933,,233.75,8.349999999999994,0.03572192513368977,203910.0,115931.0,0.5685400421754696
2000-05-25,242.5,247.5,230.1,233.6,233.5,157631,247.213,,242.1,-8.5,-0.03510945890128048,319841.0,-162210.0,-0.507158244252613
2000-05-26,231.1,235.95,225.1,230.25,230.2,138735,246.735,,233.6,-3.3499999999999943,-0.01434075342465746,157631.0,-18896.0,-0.11987489770413184
2000-05-29,228.05,231.5,212.0,224.65,224.0,141151,245.82899999999998,,230.25,-5.599999999999994,-0.024321389793702464,138735.0,2416.0,0.017414495260748897
2000-05-30,227.0,229.5,216.0,223.8,224.9,146745,244.997,,224.65,-0.8499999999999943,-0.003783663476519039,141151.0,5594.0,0.03963131681674237
2000-05-31,231.0,239.4,225.0,230.3,229.55,152669,244.40599999999998,,223.8,6.5,0.029043789097408457,146745.0,5924.0,0.04036934818903548
2000-06-01,227.0,232.0,226.0,229.25,230.6,93573,243.852,,230.3,-1.0500000000000114,-0.00455927051671734,152669.0,-59096.0,-0.3870857868984535
2000-06-02,232.0,247.0,232.0,244.5,245.0,221847,243.62599999999998,,229.25,15.25,0.06652126499454747,93573.0,128274.0,1.3708441537623033
2000-06-05,246.1,263.5,244.15,247.05,248.0,157111,243.34400000000002,,244.5,2.5500000000000114,0.010429447852760676,221847.0,-64736.0,-0.2918047122566454
2000-06-06,255.0,255.0,237.0,244.6,244.0,91793,242.628,,247.05,-2.450000000000017,-0.009917020845982671,157111.0,-65318.0,-0.41574428270458463
2000-06-07,238.0,240.4,234.0,239.5,239.0,80002,241.95,,244.6,-5.099999999999994,-0.02085036794766959,91793.0,-11791.0,-0.12845206061464387
2000-06-08,240.0,244.9,237.0,240.35,239.0,63662,241.32299999999998,,239.5,0.8499999999999943,0.0035490605427974664,80002.0,-16340.0,-0.2042448938776531
2000-06-09,242.0,250.0,242.0,245.25,246.5,108211,240.726,,240.35,4.900000000000006,0.020386935718743615,63662.0,44549.0,0.6997738054098206
2000-06-12,246.5,249.0,243.1,244.35,244.0,64144,240.305,,245.25,-0.9000000000000057,-0.003669724770642202,108211.0,-44067.0,-0.4072321667852621
2000-06-13,240.0,255.0,239.0,253.6,254.0,114014,240.12600000000003,,244.35,9.25,0.03785553509310424,64144.0,49870.0,0.777469443751559
2000-06-14,259.0,259.0,249.0,250.3,251.0,70730,239.988,,253.6,-3.299999999999983,-0.013012618296529888,114014.0,-43284.0,-0.379637588366341
2000-06-15,251.05,253.0,247.55,250.9,251.1,63502,240.063,,250.3,0.5999999999999943,0.00239712345185783,70730.0,-7228.0,-0.10219143220698435
2000-06-16,243.0,252.95,243.0,251.0,250.25,55813,240.535,,250.9,0.09999999999999432,0.0003985651654045963,63502.0,-7689.0,-0.12108280054171527
2000-06-19,245.25,253.0,245.15,251.65,251.8,74185,241.38300000000004,,251.0,0.6500000000000057,0.0025896414342629903,55813.0,18372.0,0.32917062333148195
2000-06-20,254.9,258.7,246.5,254.6,256.0,100754,242.62399999999997,,251.65,2.9499999999999886,0.011722630637790443,74185.0,26569.0,0.3581451775965492
2000-06-21,258.0,263.0,253.1,256.2,257.05,183914,243.58900000000003,,254.6,1.5999999999999943,0.00628436763550666,100754.0,83160.0,0.8253766599837227
2000-06-22,258.1,262.0,256.0,257.1,257.5,65074,244.239,,256.2,0.9000000000000341,0.003512880562061005,183914.0,-118840.0,-0.6461715801950911
2000-06-23,254.1,259.0,254.1,257.4,258.45,75781,244.863,,257.1,0.2999999999999545,0.001166861143523823,65074.0,10707.0,0.16453575928942432
2000-06-26,254.35,257.45,254.15,255.15,255.0,66041,245.30599999999998,,257.4,-2.2499999999999716,-0.00874125874125864,75781.0,-9740.0,-0.12852825906229792
2000-06-27,255.0,255.0,251.0,251.9,252.0,74332,245.715,,255.15,-3.25,-0.012737605330197965,66041.0,8291.0,0.1255432231492557
