Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2000-02-21,348.4,352.0,341.65,345.65,344.0,2944404,,,349.45,-3.8000000000000114,-0.01087423093432538,5030667.0,-2086263.0,-0.4147090236741967
2000-02-22,346.0,347.0,332.5,334.35,335.25,7192242,,,345.65,-11.299999999999955,-0.03269202950961947,2944404.0,4247838.0,1.4426817787233004
2000-02-23,344.7,344.7,327.3,329.8,330.0,4831725,,,334.35,-4.550000000000011,-0.013608494093016343,7192242.0,-2360517.0,-0.32820322230536736
2000-02-24,332.9,340.7,329.3,336.75,339.0,5663873,,,329.8,6.949999999999989,0.021073377804730065,4831725.0,832148.0,0.17222586136421247
2000-02-25,341.4,342.9,326.1,328.6,326.9,3912097,,,336.75,-8.149999999999977,-0.024201930215293155,5663873.0,-1751776.0,-0.309289420860955
2000-02-28,324.85,337.25,310.0,333.1,337.25,5026004,,,328.6,4.5,0.013694461351186904,3912097.0,1113907.0,0.2847339930477184
2000-02-29,337.9,342.85,306.45,310.85,309.5,9970107,,,333.1,-22.25,-0.06679675773041127,5026004.0,4944103.0,0.9837045493795866
2000-03-01,315.0,329.85,299.0,316.8,317.25,10765888,,,310.85,5.949999999999989,0.01914106482226141,9970107.0,795781.0,0.07981669604950081
2000-03-02,318.85,322.0,291.5,291.75,291.5,12536245,,,316.8,-25.05000000000001,-0.07907196969696972,10765888.0,1770357.0,0.1644413354476657
2000-03-03,286.1,286.1,268.45,268.45,268.45,4636776,,,291.75,-23.30000000000001,-0.0798628963153385,12536245.0,-7899469.0,-0.6301303939098191
2000-03-06,268.45,283.85,247.0,253.95,254.7,10430713,,,268.45,-14.5,-0.05401378282734215,4636776.0,5793937.0,1.249561548800287
2000-03-07,257.0,259.0,240.0,242.3,244.5,9560450,,,253.95,-11.649999999999977,-0.045875172278007414,10430713.0,-870263.0,-0.08343274328418393
2000-03-08,246.9,250.5,230.0,232.95,234.3,7256376,,,242.3,-9.350000000000023,-0.03858852661989276,9560450.0,-2304074.0,-0.24100058051660744
2000-03-09,235.9,242.4,224.15,231.3,230.9,5545792,,,232.95,-1.6499999999999773,-0.007083065035415226,7256376.0,-1710584.0,-0.2357353036832711
2000-03-10,234.0,234.8,214.6,216.85,218.4,6597169,,,231.3,-14.450000000000017,-0.06247297881539138,5545792.0,1051377.0,0.18958103729818943
2000-03-13,219.9,229.5,200.3,203.2,203.3,10765401,312.236,,216.85,-13.650000000000006,-0.06294673737606649,6597169.0,4168232.0,0.6318213160827015
2000-03-14,205.5,219.5,197.15,219.2,219.0,10106318,311.586,,203.2,16.0,0.07874015748031504,10765401.0,-659083.0,-0.06122233626039564
2000-03-15,224.0,236.75,216.0,236.75,236.75,5711222,310.884,,219.2,17.55000000000001,0.08006386861313874,10106318.0,-4395096.0,-0.4348859792458539
